id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
2c6de8cc442ab517a89e7477f0c8ebe2,krakow,,92.34,4.0,3.0,4.0,2021.0,50.09247509,20.02683347,7.54,12.0,0.288,0.48,0.287,0.146,0.408,1.72,0.303,condominium,,,no,yes,yes,no,no,1200000
05f8de0a8795e9efd9fa13d6611cdd6f,krakow,blockOfFlats,61.34,3.0,2.0,4.0,2008.0,50.0043,19.9058,6.13,7.0,0.886,0.756,0.606,0.092,0.072,3.742,0.196,condominium,,,yes,yes,no,no,yes,780000
1bccdba6d6441a4b5b8accd355e6294f,krakow,apartmentBuilding,58.16,3.0,,5.0,2022.0,50.0456469,20.0000319,4.53,4.0,0.587,1.109,0.024,0.339,0.596,0.998,0.592,condominium,brick,,no,no,yes,no,no,924744
78e2844b302b91ae5a05e6566f122e9b,krakow,blockOfFlats,39.42,2.0,11.0,11.0,1978.0,50.0267,19.9294,3.24,8.0,0.35,0.658,0.148,0.149,0.105,2.091,0.131,condominium,concreteSlab,,yes,no,yes,no,no,459000
d252a56137618a27b6a1e2df763420ed,krakow,blockOfFlats,62.01,3.0,2.0,5.0,2023.0,50.10160595,19.95150168,5.23,3.0,0.513,1.083,0.719,0.489,0.191,2.529,0.694,condominium,,,no,yes,yes,no,no,760000
57bf96d3d7d2261423c18a85d0bf3bf2,krakow,blockOfFlats,44.4,3.0,2.0,10.0,1978.0,50.0792,19.897,3.98,14.0,0.266,0.903,0.224,0.297,0.38,0.719,0.142,condominium,concreteSlab,,no,no,yes,no,yes,640000
79bcd7f79ccbeef86e41cb5f0fa9497d,krakow,apartmentBuilding,37.9,2.0,1.0,5.0,2022.0,50.0643458,19.988822,3.73,1.0,0.672,0.566,0.888,0.562,0.347,1.923,0.64,condominium,brick,,no,yes,yes,no,yes,754000
c60449e37f0a200368ad23f99146ce7d,krakow,blockOfFlats,28.0,1.0,,2.0,2000.0,50.0794,19.9028,3.7,10.0,0.571,1.073,0.275,0.412,0.038,0.923,0.216,condominium,brick,,no,no,no,no,no,379000
603ea3a32163fee71c84cdb4321b5014,krakow,,39.0,2.0,2.0,2.0,,50.0838471,19.9012345,4.14,9.0,0.106,0.861,0.178,0.048,0.389,1.303,0.576,condominium,,,no,yes,no,no,yes,660000
5896b7d0f27dccce06c70ed617818a7a,krakow,apartmentBuilding,40.0,2.0,,3.0,2001.0,50.0766,19.895,3.9,14.0,0.124,0.854,0.364,0.188,0.263,0.413,0.348,condominium,brick,,yes,no,yes,yes,yes,629000
5e9d5acda3a402be62e5864a368d0c6f,krakow,,67.0,4.0,,2.0,2021.0,50.0922368,19.8720594,6.27,2.0,0.965,0.311,0.885,0.717,1.166,2.693,1.379,condominium,,,no,yes,no,no,no,1085000
ff295582bb1d60acf48e35c1ef6b8745,krakow,blockOfFlats,65.0,2.0,1.0,4.0,2000.0,50.02009316,19.90149736,4.72,28.0,1.007,0.098,0.331,0.091,0.141,2.908,0.149,condominium,,premium,yes,yes,no,no,no,960000
f204bbd740306823f9da3c42ba511880,krakow,tenement,40.0,2.0,5.0,5.0,1935.0,50.0729376,19.9326459,2.0,26.0,0.317,0.153,0.227,0.23,0.103,0.064,0.136,condominium,brick,,no,no,yes,no,no,450000
6c9f5f2dadfdeb596aeb9c6399ebfb7c,krakow,blockOfFlats,55.0,2.0,1.0,1.0,1955.0,50.098017,19.912055,5.11,3.0,0.732,1.55,1.259,0.216,0.928,2.051,0.065,condominium,brick,low,no,no,,no,no,680000
aa1757e0535ed648fe33e17e98617a47,krakow,,62.57,3.0,3.0,4.0,2019.0,50.05041546,19.92602348,1.04,21.0,0.117,0.595,0.118,0.147,0.055,0.915,0.105,condominium,,premium,no,yes,yes,no,no,1063000
71a20a6b9b7640f1fcd837ee818d066c,krakow,apartmentBuilding,46.76,2.0,14.0,14.0,2022.0,50.0784863,19.8940399,4.09,11.0,0.304,0.726,0.398,0.316,0.155,0.624,0.161,condominium,brick,premium,yes,yes,yes,no,no,1050000
7128165c9c33a81fb198d0977172e394,krakow,blockOfFlats,53.0,3.0,1.0,4.0,1980.0,50.0991,19.9824,5.79,1.0,1.121,1.977,0.746,0.47,0.532,1.611,0.766,condominium,concreteSlab,premium,yes,yes,no,no,yes,749000
ebadcf92decc0fa2c3533ddfcc66b946,krakow,apartmentBuilding,42.62,2.0,1.0,5.0,2015.0,50.0991,19.9824,5.79,1.0,1.121,1.977,0.746,0.47,0.532,1.611,0.766,condominium,brick,premium,yes,yes,yes,no,yes,729000
8c7da7c2cf88ba7203a0b4d1242b1d44,krakow,blockOfFlats,66.0,3.0,1.0,4.0,1980.0,50.099431,20.011962,7.18,15.0,0.331,0.949,0.086,0.164,0.386,0.99,0.069,condominium,concreteSlab,low,no,yes,no,no,yes,790000
3583b68f11e42a60aac6c88c3fc4450c,krakow,blockOfFlats,61.0,4.0,4.0,5.0,1970.0,50.0818226,19.9546461,3.17,6.0,0.102,0.446,0.239,0.262,0.292,1.776,0.208,condominium,brick,,no,yes,no,no,no,926000
13f327798eb3a61a14bae1717aeee8ad,krakow,blockOfFlats,54.0,3.0,4.0,4.0,1975.0,50.100542,20.011736,7.26,17.0,0.399,1.059,0.203,0.263,0.398,1.075,0.109,condominium,,,no,yes,no,no,yes,640000
bbe613d6c443603bf0cf07c74a82f73b,krakow,apartmentBuilding,36.09,2.0,3.0,7.0,2018.0,50.0492984,19.9620819,1.81,18.0,0.123,0.082,0.535,0.14,0.029,0.838,0.518,condominium,brick,,no,yes,yes,no,no,699000
0613be1fe6c7f2c3446e7c2c1f027d60,krakow,,38.5,2.0,2.0,5.0,2016.0,50.08478,19.897721,4.38,10.0,0.326,0.597,0.288,0.255,0.149,1.339,0.316,condominium,,,yes,yes,yes,no,yes,660000
d27213a45ef8b8b1d42421fc8f4cddec,krakow,blockOfFlats,39.5,2.0,1.0,8.0,2015.0,50.094746,20.011339,6.8,15.0,0.421,0.667,0.281,0.349,0.104,0.651,0.122,condominium,,,no,yes,yes,no,no,585000
0064d49ee52ce7c62ee09543de7ce543,krakow,blockOfFlats,49.0,3.0,,4.0,1980.0,50.081665,19.950625,3.06,7.0,0.327,0.652,0.356,0.269,0.421,1.493,0.248,condominium,brick,,no,yes,no,no,yes,680000
9985487015c115b2a7826806a8c3cc5d,krakow,blockOfFlats,41.94,2.0,1.0,4.0,2015.0,50.0463493,19.9508941,1.33,50.0,0.082,0.63,0.193,0.636,0.059,0.883,0.15,condominium,,,no,yes,yes,no,no,935000
6787028dcffd9cfaa880b2b42dcc3d44,krakow,apartmentBuilding,121.5,4.0,,,2008.0,50.0937729,19.90427823,4.92,3.0,0.883,0.859,0.963,0.248,0.594,2.152,0.345,condominium,brick,premium,yes,yes,no,no,no,1440000
bf2ff4798dfd88cfc38576d7ae94d0a7,krakow,blockOfFlats,54.59,3.0,11.0,15.0,2017.0,50.07986485,20.00240828,5.32,15.0,0.45,1.82,0.276,0.284,0.082,1.437,0.061,condominium,,premium,no,yes,yes,no,no,980000
f08e29f6e64d4d0db6b68013a5bbb7ac,krakow,blockOfFlats,44.09,3.0,2.0,4.0,1970.0,50.09043015,20.01813425,6.9,24.0,0.134,0.287,0.259,0.264,0.054,1.13,0.295,condominium,concreteSlab,premium,no,no,no,no,yes,699000
86fc34316c378e1012a649121531787f,krakow,tenement,41.1,2.0,3.0,3.0,1910.0,50.0657825,19.9506936,1.46,52.0,0.261,0.057,0.331,0.944,0.029,0.808,0.074,condominium,brick,,no,yes,no,no,no,697000
06c5fc3ed9e8d5f65aa8964451604a39,krakow,blockOfFlats,141.0,6.0,3.0,4.0,1991.0,50.0717712,19.9084645,2.82,25.0,0.182,0.333,0.294,0.478,0.005,0.546,0.098,condominium,,,no,no,no,no,no,1550000
bf6afc10a4ee99bce897412a4ddb101e,krakow,blockOfFlats,54.3,3.0,7.0,10.0,1975.0,50.079882,19.884202,4.74,13.0,0.287,0.133,0.156,0.172,0.175,1.083,0.146,condominium,concreteSlab,,no,no,yes,no,no,795000
56b7af6f5a59695994eeb22f910b35e9,krakow,blockOfFlats,63.8,3.0,2.0,6.0,2023.0,50.0850087,19.8878891,4.89,11.0,0.422,0.414,0.576,0.075,0.073,1.434,0.43,condominium,,,no,yes,yes,no,no,1130000
2e7495098dd6195fb02e4cfead417f4f,krakow,apartmentBuilding,55.55,3.0,1.0,5.0,2022.0,50.0409078,19.9830911,3.57,5.0,0.777,0.283,0.159,0.289,0.523,1.633,0.609,condominium,brick,,no,no,yes,no,no,938795
